hour,token_capacity,export_tokens,token_export_revenue,token_energy_cost,net_token_profit,avg_cross_timezone_delay,token_sla_violation_rate,energy_per_million_tokens,cost_per_million_tokens,utility,export_ramp_tokens,asia_export_tokens,europe_export_tokens,america_export_tokens,strategy,price,power_margin_norm
0,455555.2995770285,341666.47468277137,0.3689997926573931,0.010249909348601849,0.3587498833087912,0.3675,1.0,0.7038890552749315,0.029999751535817576,-1.4751449195509843,341666.47468277137,0.0,0.0,341666.47468277137,Price-Driven,42.62,0.4555552995770285
1,272275.9292094087,204206.94690705652,0.22054350265962103,0.006811736597241649,0.21373176606237937,0.3675,1.0,0.8230206460138844,0.033357026782942736,-0.8823490214612465,137459.52777571484,0.0,0.0,204206.94690705652,Price-Driven,40.53,0.2722759292094087
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204206.94690705652,0.0,0.0,0.0,Price-Driven,34.475,0.0
3,316141.5124393103,237106.13432948274,0.2560746250758414,0.00762008120943769,0.2484545438664037,0.3675,1.0,0.7945080169144483,0.03213784928418943,-1.0242126321470948,237106.13432948274,0.0,0.0,237106.13432948274,Price-Driven,40.45,0.3161415124393103
4,410467.0582124122,307850.29365930916,0.3324783171520539,0.006280512384343124,0.32619780476771076,0.36750000000000005,1.0,0.7331964121619321,0.02040119016840576,-1.326188646448631,70744.15932982642,0.0,0.0,307850.29365930916,Price-Driven,27.825,0.4104670582124122
5,229181.6027568471,171886.2020676353,0.1856370982330461,0.005362648670593121,0.18027444956245298,0.36749999999999994,1.0,0.8510319582080494,0.03119883158790709,-0.7423247400355795,135964.09159167384,0.0,0.0,171886.2020676353,Price-Driven,36.66,0.2291816027568471
6,251147.58811934362,188360.69108950772,0.2034295463766683,0.006246934754045244,0.19718261162262304,0.3675,1.0,0.8367540677224266,0.03316474747417838,-0.8138433978003096,16474.489021872403,0.0,0.0,188360.69108950772,Price-Driven,39.635,0.2511475881193436
7,301400.61495587375,226050.46121690533,0.24413449811425775,0.006971589862979062,0.2371629082512787,0.3675,1.0,0.804089600278682,0.03084085661868885,-0.9761629423304606,37689.77012739761,0.0,0.0,226050.46121690533,Price-Driven,38.355,0.3014006149558738
8,173405.5085635912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226050.46121690533,0.0,0.0,0.0,Price-Driven,41.75,0.1734055085635912
9,107367.61530437849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,44.870000000000005,0.1073676153043785
10,22280.311616012597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,55.86000000000001,0.0222803116160126
11,57437.5759582944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,50.165,0.0574375759582944
12,94609.47169982339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,44.21,0.0946094716998234
13,115059.8702501427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,42.165,0.1150598702501427
14,149368.9615698478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,42.66,0.1493689615698478
15,135637.1499661784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,56.835,0.1356371499661784
16,112965.1042794621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,69.58,0.1129651042794621
17,182143.9412905096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,62.5,0.1821439412905096
18,258911.8524342649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,53.46,0.2589118524342649
19,287499.1223187276,215624.3417390457,0.23287428907816934,0.007165723444871243,0.2257085656332981,0.36749999999999994,1.0,0.8131255704928271,0.03323244206604184,-0.9316550886510295,215624.3417390457,0.0,0.0,215624.3417390457,Price-Driven,40.87,0.2874991223187276
20,258945.24172405121,194208.93129303842,0.2097456457964815,0.005969807665295401,0.2037758381311861,0.36750000000000005,1.0,0.8316855928793667,0.030739099512821392,-0.8386406005841976,21415.41044600727,0.0,0.0,194208.93129303842,Price-Driven,36.96,0.2589452417240512
21,224277.13237382198,168207.8492803665,0.18166447722279583,0.004267488638024674,0.17739698858477115,0.36750000000000005,1.0,0.8542198639570158,0.02537032995952337,-0.7254586424275961,26001.08201267192,0.0,0.0,168207.8492803665,Price-Driven,29.7,0.224277132373822
22,216447.3669650105,162335.52522375787,0.1753223672416585,0.0021928835993759244,0.1731294836422826,0.3675,1.0,0.8593092114727432,0.013508340804351522,-0.6982064479962379,5872.3240566086315,0.0,0.0,162335.52522375787,Price-Driven,15.72,0.2164473669650105
23,187855.73375183108,140891.8003138733,0.15216314433898318,0.0015324947433780316,0.15063064959560515,0.3675,1.0,0.8778937730613098,0.010877103848229628,-0.6056060885891097,21443.724909884564,0.0,0.0,140891.8003138733,Price-Driven,12.39,0.1878557337518311
0,455555.2995770285,250555.41476736573,0.20294988596156624,0.00751660018897469,0.19543328577259156,0.17750000000000002,0.05,0.7038890552749315,0.02999975153581758,0.08832084595954272,250555.41476736573,200444.33181389258,37583.31221510485,12527.770738368286,Latency-Aware,42.62,0.4555552995770285
1,272275.9292094087,149751.7610651748,0.12129892646279161,0.004995273504643877,0.11630365295814774,0.1775,0.05,0.8230206460138844,0.033357026782942736,0.05228477510278551,100803.65370219093,119801.40885213984,22462.76415977622,7487.58805325874,Latency-Aware,40.53,0.2722759292094087
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149751.7610651748,0.0,0.0,0.0,Latency-Aware,34.475,0.0
