actual_power_w,reported_power_w,power_cap_w,frequency_ghz
640.0,537.546,674.94,1.0
640.0,549.82,674.94,1.0
640.0,518.812,674.94,1.0
640.0,561.448,674.94,1.0
640.0,539.484,674.94,1.0
640.0,533.024,674.94,1.0
640.0,563.386,674.94,1.0
640.0,529.794,674.94,1.0
640.0,516.2280000000001,674.94,1.0
640.0,512.998,674.94,1.0
640.0,554.988,674.94,1.0
640.0,518.812,674.94,1.0
640.0,577.598,674.94,1.0
640.0,503.308,674.94,1.0
640.0,576.306,674.94,1.0
640.0,547.236,674.94,1.0
640.0,541.422,674.94,1.0
640.0,533.024,674.94,1.0
640.0,551.112,674.94,1.0
640.0,542.714,674.94,1.0
640.0,564.678,674.94,1.0
640.0,545.298,674.94,1.0
640.0,546.59,674.94,1.0
640.0,536.254,674.94,1.0
640.0,542.068,674.94,1.0
640.0,549.174,674.94,1.0
640.0,510.414,674.94,1.0
640.0,517.52,674.94,1.0
640.0,557.572,674.94,1.0
640.0,546.59,674.94,1.0
640.0,539.484,674.94,1.0
640.0,544.006,674.94,1.0
640.0,549.82,674.94,1.0
640.0,533.024,674.94,1.0
640.0,528.5020000000001,674.94,1.0
640.0,547.236,674.94,1.0
640.0,524.626,674.94,1.0
640.0,551.112,674.94,1.0
640.0,510.414,674.94,1.0
640.0,563.386,674.94,1.0
640.0,552.404,674.94,1.0
640.0,548.528,674.94,1.0
640.0,562.094,674.94,1.0
640.0,575.66,674.94,1.0
640.0,562.74,674.94,1.0
640.0,507.83,674.94,1.0
640.0,518.812,674.94,1.0
640.0,531.086,674.94,1.0
640.0,544.006,674.94,1.0
640.0,553.696,674.94,1.0
640.0,529.148,674.94,1.0
640.0,547.236,674.94,1.0
640.0,528.5020000000001,674.94,1.0
609.8400000000001,633.307,814.42,1.4
640.0,638.578,814.42,1.0
640.0,633.6835,814.42,1.0
640.0,638.2015,814.42,1.0
640.0,661.168,814.42,1.0
640.0,638.578,814.42,1.0
640.0,678.8635,814.42,1.0
846.7200000000001,654.7675,814.42,1.2
846.7200000000001,651.379,814.42,1.2
846.7200000000001,639.331,814.42,1.2
640.0,657.0265,814.42,1.0
640.0,642.7195,814.42,1.0
640.0,650.626,814.42,1.0
640.0,678.1105,814.42,1.0
640.0,647.9905,814.42,1.0
640.0,661.921,814.42,1.0
640.0,641.2135,814.42,1.0
640.0,648.7435,814.42,1.0
640.0,669.0745000000001,814.42,1.0
846.7200000000001,641.9665,814.42,1.2
640.0,669.451,814.42,1.0
846.7200000000001,657.0265,814.42,1.2
846.7200000000001,642.7195,814.42,1.2
640.0,656.2735,814.42,1.0
640.0,660.0385,814.42,1.0
846.7200000000001,656.2735,814.42,1.2
846.7200000000001,631.4245,814.42,1.2
640.0,640.837,814.42,1.0
640.0,646.4845,814.42,1.0
640.0,648.367,814.42,1.0
640.0,656.2735,814.42,1.0
640.0,651.0025,814.42,1.0
640.0,634.0600000000001,814.42,1.0
640.0,653.2615,814.42,1.0
640.0,655.897,814.42,1.0
640.0,655.5205,814.42,1.0
640.0,661.168,814.42,1.0
640.0,658.5325,814.42,1.0
640.0,654.391,814.42,1.0
640.0,648.367,814.42,1.0
640.0,630.295,814.42,1.0
640.0,654.0145,814.42,1.0
640.0,651.379,814.42,1.0
640.0,652.132,814.42,1.0
640.0,634.813,814.42,1.0
640.0,637.072,814.42,1.0
640.0,661.168,814.42,1.0
640.0,648.7435,814.42,1.0
640.0,656.65,814.42,1.0
640.0,649.4965,814.42,1.0
640.0,649.4965,814.42,1.0
640.0,659.662,814.42,1.0
640.0,643.4725,814.42,1.0
640.0,650.2495,814.42,1.0
640.0,643.849,814.42,1.0
640.0,644.2255,814.42,1.0
640.0,645.7315,814.42,1.0
640.0,651.7555,814.42,1.0
640.0,643.849,814.42,1.0
640.0,663.427,814.42,1.0
640.0,638.9545,814.42,1.0
640.0,646.861,814.42,1.0
640.0,644.2255,814.42,1.0
640.0,665.3095,814.42,1.0
640.0,651.379,814.42,1.0
640.0,660.7915,814.42,1.0
640.0,632.1775,814.42,1.0
640.0,652.132,814.42,1.0
640.0,659.2855,814.42,1.0
640.0,649.873,814.42,1.0
640.0,661.168,814.42,1.0
640.0,643.096,814.42,1.0
640.0,664.933,814.42,1.0
640.0,675.0985000000001,814.42,1.0
640.0,644.9785,626.48,1.0
640.0,644.2255,626.48,1.0
640.0,665.686,626.48,1.0
640.0,666.8155,626.48,1.0
640.0,643.096,626.48,1.0
640.0,644.2255,626.48,1.0
640.0,646.1080000000001,626.48,1.0
640.0,634.0600000000001,626.48,1.0
640.0,638.578,626.48,1.0
640.0,637.825,626.48,1.0
640.0,640.4605,626.48,1.0
640.0,648.7435,626.48,1.0
640.0,651.7555,626.48,1.0
640.0,666.8155,626.48,1.0
640.0,637.825,626.48,1.0
640.0,660.415,626.48,1.0
640.0,646.861,626.48,1.0
640.0,648.7435,626.48,1.0
640.0,656.65,626.48,1.0
640.0,636.319,626.48,1.0
640.0,653.2615,626.48,1.0
640.0,651.0025,626.48,1.0
640.0,654.7675,626.48,1.0
640.0,652.5085,626.48,1.0
640.0,676.981,626.48,1.0
640.0,641.9665,626.48,1.0
640.0,643.096,626.48,1.0
640.0,641.9665,626.48,1.0
640.0,642.7195,626.48,1.0
640.0,641.9665,626.48,1.0
640.0,662.674,626.48,1.0
640.0,665.3095,626.48,1.0
640.0,642.7195,626.48,1.0
640.0,639.7075,626.48,1.0
640.0,654.391,626.48,1.0
640.0,642.7195,626.48,1.0
640.0,656.2735,626.48,1.0
640.0,651.379,626.48,1.0
640.0,632.1775,626.48,1.0
640.0,666.439,626.48,1.0
640.0,669.451,626.48,1.0
640.0,642.343,626.48,1.0
640.0,644.602,626.48,1.0
640.0,652.5085,626.48,1.0
640.0,652.885,626.48,1.0
640.0,656.65,626.48,1.0
640.0,671.71,626.48,1.0
640.0,647.2375,626.48,1.0
640.0,640.0840000000001,626.48,1.0
640.0,633.6835,626.48,1.0
640.0,640.837,626.48,1.0
640.0,648.7435,626.48,1.0
640.0,669.451,626.48,1.0
640.0,643.096,626.48,1.0
640.0,651.7555,626.48,1.0
640.0,649.12,626.48,1.0
640.0,662.674,626.48,1.0
640.0,677.734,626.48,1.0
640.0,643.096,626.48,1.0
640.0,643.4725,626.48,1.0
640.0,660.7915,626.48,1.0
640.0,656.65,626.48,1.0
640.0,669.8275,626.48,1.0
640.0,655.897,626.48,1.0
640.0,644.9785,626.48,1.0
640.0,655.897,626.48,1.0
640.0,661.5445,626.48,1.0
640.0,658.5325,626.48,1.0
640.0,654.7675,626.48,1.0
640.0,661.168,626.48,1.0
640.0,662.2975,626.48,1.0
640.0,664.5565,626.48,1.0
640.0,656.2735,626.48,1.0
640.0,647.2375,626.48,1.0
640.0,650.626,626.48,1.0
640.0,662.674,687.94,1.0
640.0,639.7075,687.94,1.0
640.0,653.2615,687.94,1.0
640.0,644.602,687.94,1.0
640.0,649.4965,687.94,1.0
640.0,663.427,687.94,1.0
640.0,651.379,687.94,1.0
640.0,649.4965,687.94,1.0
640.0,633.6835,687.94,1.0
640.0,657.403,687.94,1.0
640.0,656.2735,687.94,1.0
640.0,673.5925,687.94,1.0
640.0,645.7315,687.94,1.0
640.0,651.7555,687.94,1.0
640.0,651.7555,687.94,1.0
640.0,666.8155,687.94,1.0
640.0,647.9905,687.94,1.0
640.0,652.132,687.94,1.0
640.0,655.897,687.94,1.0
640.0,651.379,687.94,1.0
640.0,644.2255,687.94,1.0
640.0,651.379,687.94,1.0
640.0,661.168,687.94,1.0
640.0,637.4485,687.94,1.0
640.0,650.626,687.94,1.0
640.0,641.2135,687.94,1.0
640.0,662.674,687.94,1.0
640.0,631.801,687.94,1.0
640.0,642.7195,687.94,1.0
640.0,653.2615,687.94,1.0
640.0,666.8155,687.94,1.0
640.0,648.367,687.94,1.0
640.0,642.7195,687.94,1.0
640.0,670.204,687.94,1.0
640.0,632.9305,687.94,1.0
640.0,624.271,687.94,1.0
640.0,654.0145,687.94,1.0
640.0,643.4725,687.94,1.0
640.0,637.4485,687.94,1.0
640.0,657.0265,687.94,1.0
640.0,651.7555,687.94,1.0
640.0,642.7195,687.94,1.0
640.0,634.813,687.94,1.0
640.0,658.909,687.94,1.0
640.0,656.65,687.94,1.0
640.0,647.9905,687.94,1.0
640.0,669.8275,687.94,1.0
640.0,637.072,687.94,1.0
640.0,631.801,687.94,1.0
640.0,641.2135,687.94,1.0
640.0,648.7435,687.94,1.0
640.0,651.7555,687.94,1.0
640.0,646.4845,687.94,1.0
640.0,653.2615,687.94,1.0
640.0,634.813,687.94,1.0
640.0,665.3095,687.94,1.0
640.0,648.367,687.94,1.0
640.0,661.921,687.94,1.0
640.0,652.885,687.94,1.0
640.0,654.391,687.94,1.0
640.0,655.5205,687.94,1.0
640.0,654.0145,687.94,1.0
640.0,656.2735,687.94,1.0
640.0,664.18,687.94,1.0
640.0,651.379,687.94,1.0
640.0,657.0265,687.94,1.0
640.0,647.9905,687.94,1.0
640.0,665.3095,687.94,1.0
640.0,641.59,687.94,1.0
640.0,669.451,687.94,1.0
640.0,648.7435,687.94,1.0
640.0,632.9305,687.94,1.0
640.0,650.626,687.94,1.0
640.0,641.59,687.94,1.0
640.0,658.5325,687.94,1.0
609.8400000000001,660.5348,686.76,1.4
640.0,643.3572,686.76,1.0
640.0,660.1444,686.76,1.0
640.0,637.1108,686.76,1.0
640.0,646.8708,686.76,1.0
640.0,674.5892,686.76,1.0
640.0,674.9796,686.76,1.0
640.0,670.6852,686.76,1.0
640.0,654.2884,686.76,1.0
640.0,665.2196,686.76,1.0
640.0,665.61,686.76,1.0
640.0,651.946,686.76,1.0
640.0,683.178,686.76,1.0
640.0,675.7604,686.76,1.0
640.0,662.8772,686.76,1.0
640.0,666.0004,686.76,1.0
640.0,667.9524,686.76,1.0
640.0,641.7956,686.76,1.0
640.0,662.8772,686.76,1.0
640.0,657.802,686.76,1.0
640.0,653.898,686.76,1.0
640.0,662.4868,686.76,1.0
640.0,686.6916,686.76,1.0
640.0,673.0276,686.76,1.0
640.0,658.9732,686.76,1.0
640.0,672.2468,686.76,1.0
640.0,682.0068,686.76,1.0
640.0,676.5412,686.76,1.0
640.0,666.3908,686.76,1.0
640.0,658.1924,686.76,1.0
640.0,673.8084,686.76,1.0
640.0,670.2948,686.76,1.0
640.0,676.1508,686.76,1.0
640.0,673.0276,686.76,1.0
640.0,677.7124,686.76,1.0
640.0,659.3636,686.76,1.0
640.0,681.226,686.76,1.0
640.0,667.9524,686.76,1.0
640.0,689.8148,686.76,1.0
640.0,657.4116,686.76,1.0
640.0,685.9108,686.76,1.0
640.0,667.9524,686.76,1.0
640.0,657.802,686.76,1.0
640.0,659.754,686.76,1.0
640.0,661.706,686.76,1.0
640.0,670.6852,686.76,1.0
640.0,671.8564,686.76,1.0
640.0,658.9732,686.76,1.0
640.0,665.2196,686.76,1.0
640.0,690.5956,686.76,1.0
640.0,685.9108,686.76,1.0
640.0,670.6852,686.76,1.0
640.0,666.0004,686.76,1.0
640.0,667.1716,686.76,1.0
640.0,672.6372,686.76,1.0
640.0,653.5076,686.76,1.0
640.0,662.4868,686.76,1.0
640.0,646.09,686.76,1.0
640.0,670.2948,686.76,1.0
640.0,673.0276,686.76,1.0
640.0,660.1444,686.76,1.0
640.0,683.9588,686.76,1.0
640.0,651.1652,686.76,1.0
640.0,648.4324,686.76,1.0
640.0,668.3428,686.76,1.0
640.0,677.7124,686.76,1.0
640.0,685.5204,686.76,1.0
640.0,660.1444,686.76,1.0
640.0,678.1028,686.76,1.0
640.0,665.2196,686.76,1.0
640.0,663.658,686.76,1.0
640.0,676.1508,686.76,1.0
640.0,673.418,686.76,1.0
640.0,647.2612,686.76,1.0
640.0,682.7876,697.4,1.0
640.0,681.6164,697.4,1.0
640.0,658.1924,697.4,1.0
640.0,670.2948,697.4,1.0
640.0,671.466,697.4,1.0
640.0,668.7332,697.4,1.0
640.0,658.9732,697.4,1.0
640.0,657.802,697.4,1.0
640.0,665.2196,697.4,1.0
640.0,679.274,697.4,1.0
640.0,671.8564,697.4,1.0
640.0,661.3156,697.4,1.0
640.0,674.5892,697.4,1.0
640.0,632.426,697.4,1.0
640.0,678.8836,697.4,1.0
640.0,645.3092,697.4,1.0
640.0,661.3156,697.4,1.0
640.0,652.3364,697.4,1.0
640.0,650.3844,697.4,1.0
640.0,679.274,697.4,1.0
640.0,660.1444,697.4,1.0
640.0,669.514,697.4,1.0
640.0,665.2196,697.4,1.0
640.0,671.0756,697.4,1.0
640.0,666.3908,697.4,1.0
640.0,650.7748,697.4,1.0
640.0,677.322,697.4,1.0
640.0,659.754,697.4,1.0
640.0,647.2612,697.4,1.0
640.0,660.5348,697.4,1.0
640.0,683.178,697.4,1.0
640.0,675.7604,697.4,1.0
640.0,661.706,697.4,1.0
640.0,661.706,697.4,1.0
640.0,661.706,697.4,1.0
640.0,689.8148,697.4,1.0
640.0,669.9044,697.4,1.0
640.0,670.6852,697.4,1.0
640.0,677.7124,697.4,1.0
640.0,668.3428,697.4,1.0
640.0,662.4868,697.4,1.0
640.0,663.2676,697.4,1.0
640.0,664.8292,697.4,1.0
640.0,665.2196,697.4,1.0
640.0,674.1988,697.4,1.0
640.0,666.3908,697.4,1.0
640.0,674.1988,697.4,1.0
640.0,664.8292,697.4,1.0
640.0,666.3908,697.4,1.0
640.0,642.186,697.4,1.0
640.0,676.1508,697.4,1.0
640.0,669.514,697.4,1.0
640.0,677.322,697.4,1.0
640.0,631.6452,697.4,1.0
640.0,690.2052,697.4,1.0
640.0,664.0484,697.4,1.0
