task_id,arrival_step,scheduled_start_step,execution_time_steps,end_step,arrival_time,deadline,task_type,cpu_demand,memory_demand,bandwidth_demand,priority,datacenter_id,server_room_id,rack_id,server_id,global_server_id,waiting_time_steps,deadline_violation,sample_marker
j357491,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,1,5,0,1,1501,0.0,False,0.89344664
j784768,0.0,0.0,8.0,8.0,0,1,delay_sensitive,1.0,4.0,0.5,3,2,5,6,4,2564,0.0,False,0.51885836
j142475,0.0,0.0,13.0,13.0,0,3,delay_sensitive,5.0,4.0,0.5,3,3,5,0,0,3500,0.0,False,0.31592905
j357491,0.0,0.0,15.0,15.0,0,3,delay_sensitive,14.0,7.0,0.5,3,0,6,5,2,652,0.0,False,0.77201243
j83983,0.0,0.0,5.0,5.0,0,1,delay_sensitive,1.0,4.0,0.5,3,1,6,4,2,1642,0.0,False,0.66166126
j530239,0.0,0.0,3.0,3.0,0,0,delay_sensitive,1.0,4.0,0.5,3,2,6,7,8,2678,0.0,False,0.37365773
j150498,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,6,6,8,3668,0.0,False,0.09446667
j125286,0.0,0.0,6.0,6.0,0,1,delay_sensitive,22.0,11.0,0.5,3,0,7,0,1,701,0.0,False,0.74678961
j221783,0.0,0.0,10.0,10.0,0,2,delay_sensitive,10.0,5.0,0.5,3,1,7,1,2,1712,0.0,False,0.26246052
j221783,0.0,0.0,14.0,14.0,0,3,delay_sensitive,11.0,5.5,0.5,3,2,7,8,0,2780,0.0,False,0.93681315
j158021,0.0,0.0,15.0,15.0,0,3,delay_sensitive,11.0,5.5,0.5,3,3,7,5,9,3759,0.0,False,0.24097058
j357491,0.0,0.0,6.0,6.0,0,1,delay_sensitive,1.0,4.0,0.5,3,0,8,8,2,882,0.0,False,0.12275793
j777403,0.0,0.0,15.0,15.0,0,3,delay_sensitive,10.0,5.0,0.5,3,1,8,6,2,1862,0.0,False,0.83111267
