hour,token_capacity,export_tokens,token_export_revenue,token_energy_cost,net_token_profit,avg_cross_timezone_delay,token_sla_violation_rate,energy_per_million_tokens,cost_per_million_tokens,utility,export_ramp_tokens,domestic_export_tokens,europe_export_tokens,north_america_export_tokens,strategy,price,power_margin_norm
4,425812.2763484457,255487.36580906739,0.2554873658090674,0.005141339023095455,0.25034602678597195,0.25,0.33333333333333337,0.7232220203735102,0.020123652716892922,0.16518357151628282,29590.777078175626,85162.45526968913,85162.45526968913,85162.45526968913,Power-Margin-Only,27.825,0.4258122763484457
5,125639.5945903557,75383.75675421342,0.06784538107879207,0.0025378796638873048,0.06530750141490477,0.25,0.3333333333333333,0.9183342635162688,0.03366613410050641,0.04017958249683362,180103.60905485397,25127.91891807114,25127.91891807114,25127.91891807114,Power-Margin-Only,36.66,0.1256395945903557
6,71286.9093437869,42772.14560627214,0.03849493104564493,0.0016167209429487066,0.03687821010269622,0.25,0.3333333333333333,0.9536635089265385,0.03779845317630335,0.02262082823393884,32611.61114794128,14257.38186875738,14257.38186875738,14257.38186875738,Power-Margin-Only,39.635,0.0712869093437869
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42772.14560627214,0.0,0.0,0.0,Power-Margin-Only,38.355,0.0
8,58703.2617899673,35221.957073980375,0.03169976136658234,0.001414406025115277,0.030285355341467063,0.25,0.3333333333333333,0.9618428798365213,0.040156940233174766,0.018544702983473604,35221.957073980375,11740.652357993458,11740.652357993458,11740.652357993458,Power-Margin-Only,41.75,0.0587032617899673
9,265756.0674597552,159453.64047585314,0.17539900452343848,0.005918774257198411,0.16948023026624007,0.25,0.33333333333333337,0.8272585561511592,0.037119091414502516,0.116329016774289,124231.68340187277,53151.21349195105,53151.21349195105,53151.21349195105,Power-Margin-Only,44.870000000000005,0.2657560674597552
10,295619.7152466959,177371.82914801754,0.19510901206281928,0.008004142135315162,0.1871048699275041,0.24999999999999997,0.3333333333333333,0.8078471850896476,0.04512634375910772,0.12798092687816492,17918.188672164397,59123.94304933918,59123.94304933918,59123.94304933918,Power-Margin-Only,55.86000000000001,0.2956197152466959
11,345456.4317134951,207273.85902809707,0.2280012449309068,0.008063080748597429,0.21993816418230935,0.25,0.3333333333333333,0.7754533193862281,0.038900615767010135,0.15084687783961034,29902.029880079528,69091.28634269902,69091.28634269902,69091.28634269902,Power-Margin-Only,50.165,0.3454564317134951
12,395290.439878778,237174.2639272668,0.24191774920581213,0.007791349195355153,0.23412640001045698,0.24999999999999997,0.3333333333333333,0.7430612140787942,0.03285073627442349,0.1550683120347014,29900.40489916972,79058.0879757556,79058.0879757556,79058.0879757556,Power-Margin-Only,44.21,0.395290439878778
13,429536.97870896815,257722.1872253809,0.26287663096988856,0.00783284029625888,0.2550437906736297,0.25,0.3333333333333333,0.7208009638391707,0.030392572640278632,0.16913639493183605,20547.923298114125,85907.39574179363,85907.39574179363,85907.39574179363,Power-Margin-Only,42.165,0.4295369787089681
14,482663.83477344736,289598.3008640684,0.3185581309504752,0.008478341982336183,0.31007978896813904,0.24999999999999994,0.3333333333333333,0.6862685073972592,0.029276214525567074,0.21354702201344958,31876.11363868747,96532.76695468946,96532.76695468946,96532.76695468946,Power-Margin-Only,42.66,0.4826638347734474
15,456223.4972648837,273734.0983589302,0.26825941639175166,0.010944121761152581,0.2573152946305991,0.25,0.33333333333333337,0.7034547267778255,0.03998084939641771,0.16607059517762235,15864.202505138179,91244.69945297674,91244.69945297674,91244.69945297674,Power-Margin-Only,56.835,0.4562234972648837
16,456966.17043826246,274179.70226295746,0.26869610821769835,0.013410894475859293,0.25528521374183905,0.25,0.3333333333333333,0.7029719892151294,0.0489127910095887,0.16389197965418656,445.603904027259,91393.23408765248,91393.23408765248,91393.23408765248,Power-Margin-Only,69.58,0.4569661704382625
17,512593.8357640839,307556.3014584503,0.27680067131260533,0.012817678104859315,0.263982993207746,0.24999999999999994,0.3333333333333333,0.6668140067533455,0.04167587542208409,0.16146422605492922,33376.59919549286,102518.76715281677,102518.76715281677,102518.76715281677,Power-Margin-Only,62.5,0.5125938357640839
18,619882.166335381,371929.29980122857,0.3347363698211057,0.011871877101781317,0.3228644927193244,0.25,0.33333333333333337,0.5970765918820023,0.031919714602011845,0.1988880594522482,64372.99834277824,123976.4332670762,123976.4332670762,123976.4332670762,Power-Margin-Only,53.46,0.619882166335381
19,656075.6746592736,393645.4047955641,0.3542808643160077,0.009227450462077163,0.3450534138539305,0.25,0.3333333333333333,0.5735508114714721,0.023441021664839065,0.2138382789220758,21716.10499433556,131215.1349318547,131215.1349318547,131215.1349318547,Power-Margin-Only,40.87,0.6560756746592736
20,591959.3820352395,355175.62922114367,0.31965806629902926,0.008076256163204351,0.3115818101358249,0.25,0.33333333333333337,0.6152264016770943,0.022738767805985407,0.19318993372877702,38469.77557442046,118391.8764070479,118391.8764070479,118391.8764070479,Power-Margin-Only,36.96,0.5919593820352395
21,529659.0158620803,317795.40951724816,0.2860158685655234,0.006189044212330444,0.27982682435319295,0.25,0.3333333333333333,0.6557216396896478,0.01947493269878254,0.1738950211807769,37380.219703895506,105931.80317241605,105931.80317241605,105931.80317241605,Power-Margin-Only,29.7,0.5296590158620803
22,471192.15947144263,282715.29568286554,0.25444376611457903,0.003083111656960403,0.2513606544576186,0.25,0.3333333333333333,0.6937250963435624,0.0109053585145208,0.1571222225633301,35080.11383438262,94238.43189428851,94238.43189428851,94238.43189428851,Power-Margin-Only,15.72,0.4711921594714426
23,404564.93196423183,242738.95917853908,0.2427389591785391,0.0022166524438090016,0.2405223067347301,0.25,0.3333333333333333,0.7370327942232493,0.00913183632042606,0.15960932034188374,39976.336504326464,80912.98639284636,80912.98639284636,80912.98639284636,Power-Margin-Only,12.39,0.4045649319642318
0,683481.9154775183,512611.4366081387,0.5536203515367898,0.01214145843579452,0.5414788931009953,0.3675,1.0,0.555736754939613,0.023685500495526306,0.1436356126914003,512611.4366081387,0.0,0.0,512611.4366081387,Price-Driven,42.62,0.6834819154775184
1,639369.9166416501,479527.4374812376,0.5178896324797365,0.01135814405873282,0.5065314884210037,0.3675,1.0,0.5844095541829274,0.02368611923103405,0.21042329577633956,33083.99912690115,0.0,0.0,479527.4374812376,Price-Driven,40.53,0.6393699166416501
2,566156.721699095,424617.54127432127,0.45858694457626703,0.0092516245515536,0.44933532002471344,0.36750000000000005,1.0,0.6319981308955882,0.021788135562625405,0.18713398828782005,54909.89620691631,0.0,0.0,424617.54127432127,Price-Driven,34.475,0.566156721699095
3,475130.238145405,356347.6786090538,0.38485549289777804,0.009962639476794568,0.3748928534209835,0.3675,1.0,0.6911653452054867,0.027957638213561935,0.1548481618798928,68269.86266526749,0.0,0.0,356347.6786090538,Price-Driven,40.45,0.475130238145405
4,425812.2763484457,319359.2072613343,0.344907943842241,0.006426673778869319,0.3384812700633717,0.36750000000000005,1.0,0.7232220203735102,0.020123652716892922,0.14127695957949776,36988.47134771949,0.0,0.0,319359.2072613343,Price-Driven,27.825,0.4258122763484457
5,125639.5945903557,94229.69594276678,0.1017680716181881,0.0031723495798591313,0.09859572203832896,0.36749999999999994,1.0,0.9183342635162688,0.033666134100506416,0.040408884793670496,225129.5113185675,0.0,0.0,94229.69594276678,Price-Driven,36.66,0.1256395945903557
6,71286.9093437869,53465.18200784018,0.0577423965684674,0.0020209011786858832,0.055721495389781515,0.3675,1.0,0.9536635089265385,0.03779845317630335,0.022706745499940208,40764.513934926596,0.0,0.0,53465.18200784018,Price-Driven,39.635,0.0712869093437869
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53465.18200784018,0.0,0.0,0.0,Price-Driven,38.355,0.0
8,58703.2617899673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,41.75,0.0587032617899673
9,265756.0674597552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,44.870000000000005,0.2657560674597552
10,295619.7152466959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,55.86000000000001,0.2956197152466959
11,345456.4317134951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,50.165,0.3454564317134951
12,395290.439878778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Price-Driven,44.21,0.395290439878778
